y,x,street_count,highway,longitude,latitude
12.9302381,77.6326047,3,nan,77.6326047,12.9302381
12.9313707,77.6320707,3,nan,77.6320707,12.9313707
12.931773,77.6315327,4,nan,77.6315327,12.931773
12.932741,77.6306092,4,nan,77.6306092,12.932741
12.9334978,77.6297802,4,nan,77.6297802,12.9334978
12.9341184,77.6341032,3,nan,77.6341032,12.9341184
12.9346027,77.6344863,3,nan,77.6344863,12.9346027
12.9348607,77.6352226,3,nan,77.6352226,12.9348607
12.9346942,77.6346441,3,nan,77.6346441,12.9346942
12.9306608,77.6308145,4,nan,77.6308145,12.9306608
12.9309597,77.6301351,3,nan,77.6301351,12.9309597
12.9311787,77.6299029,3,nan,77.6299029,12.9311787
12.931484,77.6297181,4,nan,77.6297181,12.931484
12.9334607,77.6283279,3,nan,77.6283279,12.9334607
12.933645,77.6285657,3,nan,77.6285657,12.933645
12.9328796,77.6292599,4,nan,77.6292599,12.9328796
12.932653,77.6290686,4,nan,77.6290686,12.932653
12.9311601,77.6311519,3,nan,77.6311519,12.9311601
12.931729,77.6302753,4,nan,77.6302753,12.931729
12.9320044,77.6301236,4,nan,77.6301236,12.9320044
12.9331163,77.6294746,3,nan,77.6294746,12.9331163
12.9332438,77.6295726,3,nan,77.6295726,12.9332438
12.9324299,77.6304043,3,nan,77.6304043,12.9324299
12.9324998,77.6308393,3,nan,77.6308393,12.9324998
12.9322951,77.6310346,3,nan,77.6310346,12.9322951
12.9315085,77.6304978,4,nan,77.6304978,12.9315085
12.9320437,77.6312745,3,nan,77.6312745,12.9320437
12.9308108,77.6304357,3,nan,77.6304357,12.9308108
12.9313378,77.630779,4,nan,77.630779,12.9313378
12.9315638,77.6318095,3,nan,77.6318095,12.9315638
12.930556,77.631149,3,nan,77.631149,12.930556
12.9305785,77.632458,3,nan,77.632458,12.9305785
12.9304601,77.6315333,3,nan,77.6315333,12.9304601
12.9334435,77.6264286,1,nan,77.6264286,12.9334435
12.9465783,77.6174832,4,nan,77.6174832,12.9465783
12.9290553,77.621651,3,nan,77.621651,12.9290553
12.9295187,77.6218475,3,nan,77.6218475,12.9295187
