osmid,highway,oneway,reversed,length,lanes,name,width,est_width,bridge,maxspeed,access,longitude,latitude
27785799,residential,False,False,225.091,nan,1st Cross Road,nan,nan,nan,nan,nan,77.63160942561228,12.930141464498783
27785841,residential,False,False,67.071,nan,8th A Main Road,nan,nan,nan,nan,nan,77.63046874617008,12.93003675187618
558762905,tertiary,True,False,17.125,nan,1st Main Road,nan,nan,nan,nan,nan,77.6336145,12.92982565
1262796544,residential,False,False,5.875,nan,nan,nan,nan,nan,nan,nan,77.63353835,12.92983055
27790968,residential,False,False,25.669999999999998,nan,7th A Main Road,nan,nan,nan,nan,nan,77.63358003392773,12.929966073726419
24299079,tertiary,False,False,23.013,nan,1st Main Road,nan,nan,nan,nan,nan,77.63437834999999,12.9294244
1126739888,tertiary,True,False,6.765,nan,1st Main Road,nan,nan,nan,nan,nan,77.63425319999999,12.92947335
558762900,residential,False,False,63.335,nan,5th A Main Road,nan,nan,nan,nan,nan,77.6343965530118,12.929735569802443
24299078,residential,False,False,52.167,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.6348594,12.925780549999999
24299078,residential,False,True,73.208,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63429065,12.9256779
27789866,residential,False,True,150.338,nan,5th Main Road,nan,nan,nan,nan,nan,77.6345482,12.9264102
27789866,residential,False,False,210.494,nan,5th Main Road,nan,nan,nan,nan,nan,77.634371,12.9280235
27789870,residential,False,False,54.843,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63449765,12.92886055
27789866,residential,False,True,56.864,nan,5th Main Road,nan,nan,nan,nan,nan,77.63424516833025,12.929219401675399
27789870,residential,False,False,4.739,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63718205,12.9271766
148986967,residential,False,False,54.723,nan,nan,nan,nan,nan,nan,nan,77.63734489999999,12.9273882
27789870,residential,False,True,169.49099999999999,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63662335365002,12.927722316948673
27789870,residential,False,False,152.696,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63535815,12.9284514
27789870,residential,False,True,54.843,nan,2nd Main Road,nan,nan,nan,nan,nan,77.63449765,12.92886055
27790751,residential,False,False,66.805,nan,4th Main Road,nan,nan,nan,nan,nan,77.63476625,12.92845845
24299078,residential,False,True,52.167,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.6348594,12.925780549999999
27790751,residential,False,True,47.212,nan,4th Main Road,nan,nan,nan,nan,nan,77.63506989999999,12.926033749999998
24299078,residential,False,False,168.781,nan,2nd Cross Road,nan,nan,nan,nan,nan,77.63586268093664,12.925956139788292
27790751,residential,False,False,109.492,nan,4th Main Road,nan,nan,nan,nan,nan,77.63485825000001,12.92767085
27790751,residential,False,True,66.805,nan,4th Main Road,nan,nan,nan,nan,nan,77.63476625,12.92845845
27790761,residential,False,False,116.318,nan,3rd Main Road,nan,nan,nan,nan,nan,77.6352897,12.927935000000002
27790761,residential,False,False,53.868,nan,3rd Main Road,nan,nan,nan,nan,nan,77.63665685000001,12.92631695
